hdop,satellites,vibration_x,gps_trust_score,action_taken,scenario
3.3,19,0.502,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
1.9,22,0.404,0.765,CAUTION,Medium_GPS
0.99,16,0.015,0.8375,CAUTION,Good_GPS
0.96,9,0.022,0.68,CAUTION,Good_GPS
2.4,11,0.619,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.48,10,0.556,0.5925,CAUTION,Good_GPS
1.21,12,0.125,0.6825,CAUTION,Good_GPS
0.99,8,0.072,0.68,CAUTION,Good_GPS
2.62,21,0.122,0.715,CAUTION,Poor_GPS
2.7,19,0.667,0.59,CAUTION,Poor_GPS
3.12,6,0.3,0.3,SWITCH_TO_NON_GPS,Poor_GPS
1.54,16,0.453,0.73,CAUTION,Medium_GPS
1.3,10,0.254,0.6425,CAUTION,Good_GPS
1.59,19,0.442,0.73,CAUTION,Medium_GPS
0.92,6,0.229,0.57,CAUTION,Good_GPS
2.79,20,0.541,0.625,CAUTION,Poor_GPS
1.94,12,0.351,0.6425,CAUTION,Medium_GPS
2.38,13,0.43,0.5525,CAUTION,Medium_GPS
1.1,19,0.419,0.7975,CAUTION,Good_GPS
1.44,11,0.016,0.6825,CAUTION,Good_GPS
2.09,6,0.445,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
2.52,8,0.558,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
3.25,8,0.092,0.41,SWITCH_TO_NON_GPS,Poor_GPS
3.01,6,0.655,0.25,SWITCH_TO_NON_GPS,Poor_GPS
2.88,16,0.06,0.68,CAUTION,Poor_GPS
1.04,20,0.002,0.8725,GPS_OK,Good_GPS
1.95,19,0.341,0.73,CAUTION,Medium_GPS
1.22,9,0.384,0.5725,CAUTION,Good_GPS
1.26,18,0.018,0.77,CAUTION,Good_GPS
2.94,15,0.017,0.68,CAUTION,Poor_GPS
1.94,18,0.497,0.73,CAUTION,Medium_GPS
1.73,21,0.606,0.715,CAUTION,Medium_GPS
1.03,22,0.305,0.8325,CAUTION,Good_GPS
1.72,13,0.06,0.6825,CAUTION,Medium_GPS
1.01,7,0.496,0.64,CAUTION,Good_GPS
3.07,15,0.168,0.5675,CAUTION,Poor_GPS
2.01,10,0.341,0.5525,CAUTION,Medium_GPS
0.95,19,0.358,0.7975,CAUTION,Good_GPS
1.69,16,0.523,0.68,CAUTION,Medium_GPS
2.97,14,0.373,0.5525,CAUTION,Poor_GPS
1.78,19,0.38,0.73,CAUTION,Medium_GPS
2.97,15,0.409,0.64,CAUTION,Poor_GPS
1.98,11,0.164,0.6825,CAUTION,Medium_GPS
3.08,13,0.256,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.36,16,0.909,0.59,CAUTION,Medium_GPS
1.46,15,0.215,0.73,CAUTION,Good_GPS
0.72,18,0.177,0.8825,GPS_OK,Good_GPS
1.83,15,0.283,0.73,CAUTION,Medium_GPS
3.0,10,0.359,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.94,7,0.128,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
0.71,20,0.575,0.8275,CAUTION,Excellent_GPS
2.03,9,0.405,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
1.18,16,0.337,0.7975,CAUTION,Good_GPS
2.54,7,0.013,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
1.15,10,0.096,0.75,CAUTION,Good_GPS
1.92,10,0.702,0.5925,CAUTION,Medium_GPS
1.13,7,0.054,0.68,CAUTION,Good_GPS
1.01,10,0.245,0.71,CAUTION,Good_GPS
1.33,6,0.482,0.5025,SWITCH_TO_NON_GPS,Good_GPS
2.95,15,0.409,0.64,CAUTION,Poor_GPS
2.54,7,0.944,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
3.32,16,0.49,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.97,12,0.281,0.6425,CAUTION,Medium_GPS
0.6,8,0.567,0.635,CAUTION,Good_GPS
2.65,20,0.171,0.715,CAUTION,Poor_GPS
1.47,9,0.211,0.5725,CAUTION,Good_GPS
3.32,9,0.594,0.32,SWITCH_TO_NON_GPS,Poor_GPS
3.04,15,0.653,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
0.88,14,0.758,0.66,CAUTION,Good_GPS
1.76,19,0.362,0.73,CAUTION,Medium_GPS
2.26,8,0.225,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
0.64,9,0.053,0.725,CAUTION,Good_GPS
1.21,19,0.427,0.73,CAUTION,Good_GPS
2.45,19,0.287,0.64,CAUTION,Medium_GPS
1.21,13,0.27,0.6425,CAUTION,Good_GPS
1.27,14,0.812,0.5925,CAUTION,Good_GPS
0.68,20,0.392,0.8775,GPS_OK,Excellent_GPS
1.22,6,0.428,0.5025,SWITCH_TO_NON_GPS,Good_GPS
3.05,21,0.269,0.5625,CAUTION,Poor_GPS
0.81,14,0.428,0.71,CAUTION,Good_GPS
2.24,12,0.614,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
2.86,9,0.425,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.52,13,0.15,0.5925,CAUTION,Poor_GPS
1.54,20,0.281,0.765,CAUTION,Medium_GPS
2.54,22,0.323,0.675,CAUTION,Poor_GPS
0.86,18,0.769,0.7475,CAUTION,Good_GPS
1.95,13,0.304,0.6425,CAUTION,Medium_GPS
0.87,7,0.108,0.68,CAUTION,Good_GPS
0.6,17,0.465,0.8425,CAUTION,Good_GPS
2.59,17,0.798,0.59,CAUTION,Poor_GPS
1.09,17,0.261,0.7975,CAUTION,Good_GPS
1.9,14,0.772,0.5925,CAUTION,Medium_GPS
2.6,19,0.358,0.64,CAUTION,Poor_GPS
2.92,21,0.498,0.675,CAUTION,Poor_GPS
0.73,15,0.114,0.8825,GPS_OK,Good_GPS
3.35,15,0.25,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.9,15,0.312,0.73,CAUTION,Medium_GPS
2.65,9,0.19,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
1.06,18,0.14,0.8375,CAUTION,Good_GPS
0.81,9,0.349,0.64,CAUTION,Good_GPS
3.37,10,0.182,0.48,SWITCH_TO_NON_GPS,Poor_GPS
1.51,9,0.088,0.6125,CAUTION,Medium_GPS
3.36,22,0.227,0.5625,CAUTION,Poor_GPS
1.02,8,0.433,0.64,CAUTION,Good_GPS
2.48,15,0.189,0.68,CAUTION,Medium_GPS
2.55,21,0.428,0.675,CAUTION,Poor_GPS
3.2,11,0.496,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.21,7,0.18,0.6125,CAUTION,Good_GPS
1.9,9,0.071,0.6125,CAUTION,Medium_GPS
1.2,11,0.508,0.5925,CAUTION,Good_GPS
2.54,18,0.229,0.64,CAUTION,Poor_GPS
2.95,21,0.24,0.675,CAUTION,Poor_GPS
3.48,14,0.643,0.39,SWITCH_TO_NON_GPS,Poor_GPS
2.89,15,0.329,0.64,CAUTION,Poor_GPS
3.34,8,0.277,0.37,SWITCH_TO_NON_GPS,Poor_GPS
1.01,15,0.138,0.8375,CAUTION,Good_GPS
1.53,17,0.052,0.77,CAUTION,Medium_GPS
3.08,9,0.081,0.41,SWITCH_TO_NON_GPS,Poor_GPS
2.9,19,0.426,0.64,CAUTION,Poor_GPS
1.52,6,0.253,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.01,12,0.298,0.71,CAUTION,Good_GPS
1.85,18,0.305,0.73,CAUTION,Medium_GPS
1.93,8,0.521,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
3.11,11,0.181,0.48,SWITCH_TO_NON_GPS,Poor_GPS
2.62,11,0.518,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
1.32,10,0.481,0.6425,CAUTION,Good_GPS
2.79,13,0.516,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
3.12,12,0.435,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.41,17,0.138,0.77,CAUTION,Good_GPS
1.3,21,0.414,0.765,CAUTION,Good_GPS
1.51,17,0.156,0.77,CAUTION,Medium_GPS
2.04,11,0.464,0.5525,CAUTION,Medium_GPS
1.91,8,0.49,0.5725,CAUTION,Medium_GPS
3.0,6,0.569,0.25,SWITCH_TO_NON_GPS,Poor_GPS
1.43,12,1.018,0.5425,SWITCH_TO_NON_GPS,Good_GPS
0.74,22,0.304,0.8775,GPS_OK,Excellent_GPS
2.82,9,0.148,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.83,20,0.011,0.715,CAUTION,Poor_GPS
3.16,21,0.755,0.5125,SWITCH_TO_NON_GPS,Poor_GPS
1.56,22,0.768,0.715,CAUTION,Medium_GPS
0.82,16,0.43,0.7975,CAUTION,Good_GPS
3.4,19,0.537,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
2.4,17,0.185,0.68,CAUTION,Medium_GPS
2.81,17,0.265,0.64,CAUTION,Poor_GPS
2.94,21,0.084,0.715,CAUTION,Poor_GPS
3.22,16,0.146,0.5675,CAUTION,Poor_GPS
0.83,16,0.394,0.7975,CAUTION,Good_GPS
2.44,11,0.001,0.5925,CAUTION,Medium_GPS
2.47,21,0.088,0.715,CAUTION,Medium_GPS
2.33,10,0.402,0.5525,CAUTION,Medium_GPS
2.7,22,0.274,0.675,CAUTION,Poor_GPS
2.34,13,0.041,0.5925,CAUTION,Medium_GPS
0.99,15,0.471,0.7975,CAUTION,Good_GPS
0.95,10,0.411,0.71,CAUTION,Good_GPS
3.49,9,0.295,0.37,SWITCH_TO_NON_GPS,Poor_GPS
1.49,14,0.42,0.6425,CAUTION,Good_GPS
